"","htgrk","htypek","gtypek","grunntype","adb_id"
197,"O","O02","O02-C-15","O2-C-15 - Turbid elvesedimentbunn","NA O2-C-15"
198,"O","O03","O03-C-01","O3-C-1 - Kalkfattig bunn i svak kilde","NA O3-C-1"
199,"O","O03","O03-C-02","O3-C-2 - Kalkfattig bunn i sterk kilde","NA O3-C-2"
200,"O","O03","O03-C-03","O3-C-3 - Kalkrik bunn i svak kilde","NA O3-C-3"
201,"O","O03","O03-C-04","O3-C-4 - Kalkrik bunn i sterk kilde","NA O3-C-4"
202,"O","O04","O04-C-01","O4-C-1 - Bunn i litt varm kilde","NA O4-C-1"
203,"O","O04","O04-C-02","O4-C-2 - Bunn i varm kilde","NA O4-C-2"
204,"O","O04","O04-C-03","O4-C-3 - Svovelpåvirket bunn i litt varm kilde","NA O4-C-3"
205,"O","O05","O05-C-01","O5-C-1 - Ny sedimentbunn i elv","NA O5-C-1"
206,"O","O06","O06-C-01","O6-C-1 - Kalkfattig kronisk fysisk forstyrret elvebunn","NA O6-C-1"
207,"O","O06","O06-C-02","O6-C-2 - Kalkrik kronisk fysisk forstyrret elvebunn","NA O6-C-2"
208,"O","O06","O06-C-03","O6-C-3 - Turbid minstevannførings-strekning i elv ","NA O6-C-3"
209,"O","O07","O07-C-01","O7-C-1 - Kronisk kjemisk påvirket elvebunn","NA O7-C-1"
210,"O","O07","O07-C-02","O7-C-2 - Kronisk forsuret elvebunn","NA O7-C-2"
211,"T","T01","T01-C-01","T1-C-1 - lite tørkeutsatte svært og temmelig kalkfattige nakne berg","NA T1-C-1"
212,"T","T01","T01-C-02","T1-C-2 - uttørkingseksponerte svært og temmelig kalkfattige berg, bergvegger og knauser","NA T1-C-2"
213,"T","T01","T01-C-03","T1-C-3 - lite uttørkingseksponerte litt kalkfattige og svakt intermediære nakne berg","NA T1-C-3"
214,"T","T01","T01-C-04","T1-C-4 - uttørkingseksponerte litt kalkfattige og svakt intermediære berg, bergvegger og knauser","NA T1-C-4"
