,id,adb_id,name
290,T18-E-1,NA T18-E-1,åpne flomfastmarker
291,T18-E-2,NA T18-E-2,åpen flomfastmark på kalkrik grus og stein
292,T18-E-3,NA T18-E-3,åpen flomfastmark på sand med klart erosjonspreg
293,T19-E-1,NA T19-E-1,kalkfattige finjordsflekker
294,T19-E-2,NA T19-E-2,kalkrike finjordsflekker
295,T20-E-1,NA T20-E-1,kalkfattig og intermediær isinnfrysingsmark
296,T20-E-2,NA T20-E-2,kalkrik isinnfrysingsmark
297,T21-E-1,NA T21-E-1,sanddynemarker
298,T22-E-1,NA T22-E-1,kalkfattige og intermediære fjellgrasheier og grassnøleier
299,T22-E-2,NA T22-E-2,kalkrike fjellgrasheier og grassnøleier
300,T23-E-1,NA T23-E-1,ferskvannsdriftvoll
301,T24-E-1,NA T24-E-1,driftvoller
302,T25-E-1,NA T25-E-1,historisk jordskred
303,T25-E-2,NA T25-E-2,historiske grus- og sandskred
304,T25-E-3,NA T25-E-3,historisk silt- og leirskred
305,T26-E-1,NA T26-E-1,breforland og snøavsmeltningsområder
306,T27-E-1,NA T27-E-1,kalkfattige og intermediære blokkmarker
307,T27-E-2,NA T27-E-2,kalkrike blokkmarker
308,T27-E-3,NA T27-E-3,blokkmark i vegetasjonsfritt snøleie
309,T28-E-1,NA T28-E-1,kalkfattig polarørken
310,T28-E-2,NA T28-E-2,intermediær og svakt kalkrik polarørken
311,T28-E-3,NA T28-E-3,sterkt kalkrik polarørken
312,T29-E-1,NA T29-E-1,skjellsand- grus- og steindominerte strender og strandlinjer
313,T30-E-1,NA T30-E-1,flomskogsmarker
314,T31-E-1,NA T31-E-1,kalkfattig boreal frisk hei
315,T31-E-2,NA T31-E-2,kalkfattige boreale lyng- og lavheier
316,T31-E-3,NA T31-E-3,intermediære boreale friske heier
317,T31-E-4,NA T31-E-4,intermediære boreal lyng- og lavhei
318,T31-E-5,NA T31-E-5,kalkrike boreale friske heier
319,T31-E-6,NA T31-E-6,svakt kalkrike boreale lyng- og lavheier
320,T31-E-7,NA T31-E-7,sterkt kalkrike boreale lyng- og lavheier
321,T32-E-1,NA T32-E-1,kalkfattige enger
322,T32-E-2,NA T32-E-2,intermediære enger
323,T32-E-3,NA T32-E-3,kalkrike enger
324,T33-E-1,NA T33-E-1,semi-naturlige strandenger
325,T34-E-1,NA T34-E-1,kalkfattige bakli- og kystlyngheier
326,T34-E-2,NA T34-E-2,intermediære bakli- og kystlyngheier
327,T34-E-3,NA T34-E-3,svakt kalkrike kystlyngheier
328,T34-E-4,NA T34-E-4,sterkt kalkrike kystlyngheier
329,T35-E-1,NA T35-E-1,sterkt endret fastmark med jorddekke
330,T35-E-2,NA T35-E-2,sterkt endrede fastmarker med dekke av sand eller grus
331,T35-E-3,NA T35-E-3,sterkt endret fastmark med dekke av silt og leire
332,T36-E-1,NA T36-E-1,sterkt endret tidligere våtmark
333,T36-E-2,NA T36-E-2,tørrlagt elvebunn
334,T36-E-3,NA T36-E-3,tørrlagt innsjøbunn
335,T37-E-1,NA T37-E-1,slagghauger og deponier for fast kjemisk avfall
336,T37-E-2,NA T37-E-2,"asfalt, løs betong o.l."
337,T37-E-3,NA T37-E-3,avfallsdeponi o.l.
338,T38-E-1,NA T38-E-1,treplantasje
339,T39-E-1,NA T39-E-1,blokkdeponier
340,T39-E-2,NA T39-E-2,blottlagt fast fjell
