pid,_id,elementarySegment_id,majorType_id,lec_id,standardSegment_id
356,KI.bc,KI.c,L-5,KI,
357,KI.d,KI.d,L-5,KI,
358,KI.e,KI.e,L-5,KI,L5-KI.e¤
359,KI.¤,KI.¤,L-5,KI,L5-KI.e¤
360,KT.a,KT.a,L-5,KT,L5-KT.a
361,KT.b,KT.b,L-5,KT,L5-KT.b
362,KT.c,KT.c,L-5,KT,L5-KT.c
363,KT.d,KT.d,L-5,KT,
364,KT.e,KT.e,L-5,KT,
365,KT.f,KT.f,L-5,KT,
366,S3E.0,S3E.0,L-5,S3E,L5-S3E.0abcd
367,S3E.a,S3E.a,L-5,S3E,L5-S3E.0abcd
368,S3E.b,S3E.b,L-5,S3E,L5-S3E.0abcd
369,S3E.c,S3E.c,L-5,S3E,L5-S3E.0abcd
370,S3E.d,S3E.d,L-5,S3E,L5-S3E.0abcd
371,S3E.e,S3E.e,L-5,S3E,
372,S3E.f,S3E.f,L-5,S3E,
373,S3E.+,S3E.+,L-5,S3E,
374,S3F.0,S3F.0,L-5,S3F,L5-S3F.0ab
375,S3F.a,S3F.a,L-5,S3F,L5-S3F.0ab
376,S3F.b,S3F.b,L-5,S3F,L5-S3F.0ab
377,S3F.c,S3F.c,L-5,S3F,L5-S3F.c¤
378,S3F.¤,S3F.¤,L-5,S3F,L5-S3F.c¤
379,S3S.0,S3S.0,L-5,S3S,L5-S3S.0
380,S3S.a,S3S.a,L-5,S3S,
381,S3S.b,S3S.b,L-5,S3S,
382,S3S.c,S3S.c,L-5,S3S,
383,S3S.d,S3S.d,L-5,S3S,
384,S3S.e,S3S.e,L-5,S3S,L5-S3S.e
385,VF.0,VF.0,L-5,VF,L5-VF.0abcde
386,VF.a,VF.a,L-5,VF,L5-VF.0abcde
387,VF.b,VF.b,L-5,VF,L5-VF.0abcde
388,VF.cd,VF.c,L-5,VF,L5-VF.0abcde
389,VF.cd,VF.d,L-5,VF,L5-VF.0abcde
390,VF.e,VF.e,L-5,VF,L5-VF.0abcde
391,VF.f,VF.f,L-5,VF,L5-VF.fgh¤
392,VF.g,VF.g,L-5,VF,L5-VF.fgh¤
393,VF.h,VF.h,L-5,VF,L5-VF.fgh¤
394,VF.¤,VF.¤,L-5,VF,L5-VF.fgh¤
395,KA.ab,KA.a,L-6,KA,L6-KA.abcde
396,KA.ab,KA.b,L-6,KA,L6-KA.abcde
397,KA.c,KA.c,L-6,KA,L6-KA.abcde
398,KA.d,KA.d,L-6,KA,L6-KA.abcde
399,KA.e,KA.e,L-6,KA,L6-KA.abcde
400,KA.f,KA.f,L-6,KA,L6-KA.fghi
401,KA.g,KA.g,L-6,KA,L6-KA.fghi
402,KA.h,KA.h,L-6,KA,L6-KA.fghi
403,KA.i,KA.i,L-6,KA,L6-KA.fghi
404,OM.0,OM.0,L-6,OM,
405,OM.a,OM.a,L-6,OM,
406,OM.b,OM.b,L-6,OM,L6-OM.b
407,OM.¤,OM.¤,L-6,OM,L6-OM.¤
408,DL.0,DL.0,L-7,DL,
409,DL.a,DL.a,L-7,DL,L7-DL.abc
410,DL.b,DL.b,L-7,DL,L7-DL.abc
411,DL.c,DL.c,L-7,DL,L7-DL.abc
412,DL.d,DL.d,L-7,DL,L7-DL.de+
413,DL.e,DL.e,L-7,DL,L7-DL.de+
414,DL.+,DL.+,L-7,DL,L7-DL.de+
415,SX.0,SX.0,L-7,SX,
416,SX.a,SX.a,L-7,SX,
417,SX.b,SX.b,L-7,SX,
418,SX.c,SX.c,L-7,SX,L7-SX.c
419,SX.d,SX.d,L-7,SX,
420,SX.e,SX.e,L-7,SX,
421,SX.f,SX.f,L-7,SX,
422,SX.g,SX.g,L-7,SX,
423,SX.h,SX.h,L-7,SX,
424,SX.i,SX.i,L-7,SX,
425,SX.j,SX.j,L-7,SX,
426,SX.k,SX.k,L-7,SX,
427,SX.l,SX.l,L-7,SX,
428,SX.m,SX.m,L-7,SX,
429,SX.n,SX.n,L-7,SX,
430,SX.o,SX.o,L-7,SX,
431,HS-L7.A,HS-L7.A,L-7,HS-L7,L7-HS-L7.A
432,HS-L7.B,HS-L7.B,L-7,HS-L7,L7-HS-L7.B
433,HS-L7.C,HS-L7.C,L-7,HS-L7,L7-HS-L7.C
434,DL.0,DL.0,L-8,DL,
435,DL.a,DL.a,L-8,DL,L8-DL.abc
436,DL.b,DL.b,L-8,DL,L8-DL.abc
437,DL.c,DL.c,L-8,DL,L8-DL.abc
438,DL.d,DL.d,L-8,DL,L8-DL.de+
439,DL.e,DL.e,L-8,DL,L8-DL.de+
440,DL.+,DL.+,L-8,DL,L8-DL.de+
441,SX.0,SX.0,L-8,SX,
442,SX.a,SX.a,L-8,SX,
443,SX.b,SX.b,L-8,SX,
444,SX.c,SX.c,L-8,SX,
445,SX.d,SX.d,L-8,SX,L8-SX.d
446,SX.e,SX.e,L-8,SX,
447,SX.f,SX.f,L-8,SX,
448,SX.g,SX.g,L-8,SX,
449,SX.h,SX.h,L-8,SX,
450,SX.i,SX.i,L-8,SX,
451,SX.j,SX.j,L-8,SX,
452,SX.k,SX.k,L-8,SX,
453,SX.l,SX.l,L-8,SX,
454,SX.m,SX.m,L-8,SX,
455,SX.n,SX.n,L-8,SX,
456,SX.o,SX.o,L-8,SX,
457,HS-L8.A,HS-L8.A,L-8,HS-L8,L8-HS-L8.A
458,HS-L8.B,HS-L8.B,L-8,HS-L8,L8-HS-L8.B
459,HS-L8.C,HS-L8.C,L-8,HS-L8,L8-HS-L8.C
460,HS-L8.D,HS-L8.D,L-8,HS-L8,L8-HS-L8.D
461,HS-L8.E,HS-L8.E,L-8,HS-L8,L8-HS-L8.E
462,HS-L8.F,HS-L8.F,L-8,HS-L8,L8-HS-L8.F
463,HS-L8.G,HS-L8.G,L-8,HS-L8,L8-HS-L8.G
464,HS-L8.H,HS-L8.H,L-8,HS-L8,L8-HS-L8.H
465,DL.0,DL.0,M-1,DL,
466,DL.a,DL.a,M-1,DL,M1-DL.a
467,DL.b,DL.b,M-1,DL,M1-DL.bc
468,DL.c,DL.c,M-1,DL,M1-DL.bc
469,DL.d,DL.d,M-1,DL,M1-DL.d
470,DL.e,DL.e,M-1,DL,
471,DL.+,DL.+,M-1,DL,
472,HF.0,HF.0,M-1,HF,M1-HF.0ab
473,HF.a,HF.a,M-1,HF,M1-HF.0ab
474,HF.b,HF.b,M-1,HF,M1-HF.0ab
475,HF.+,HF.+,M-1,HF,M1-HF.+
476,IF.0,IF.0,M-1,IF,M1-IF.0ab
477,IF.a,IF.a,M-1,IF,M1-IF.0ab
478,IF.b,IF.b,M-1,IF,M1-IF.0ab
479,IF.¤,IF.¤,M-1,IF,M1-IF.¤
480,RU.0,RU.0,M-1,RU,M1-RU.0ab
481,RU.a,RU.a,M-1,RU,M1-RU.0ab
482,RU.b,RU.b,M-1,RU,M1-RU.0ab
483,RU.c,RU.c,M-1,RU,M1-RU.cde
484,RU.¤,RU.¤,M-1,RU,
485,RU.d,RU.d,M-1,RU,M1-RU.cde
486,RU.e,RU.e,M-1,RU,M1-RU.cde
487,SA.0,SA.0,M-1,SA,
488,SA.a,SA.a,M-1,SA,M1-SA.a
489,SA.f,SA.f,M-1,SA,M1-SA.def
490,SA.+,SA.+,M-1,SA,
491,SA.b,SA.b,M-1,SA,M1-SA.bc
492,SA.c,SA.c,M-1,SA,M1-SA.bc
493,SA.d,SA.d,M-1,SA,M1-SA.def
494,SA.e,SA.e,M-1,SA,M1-SA.def
495,S1.0,S1.0,M-1,S1,
496,S1.a,S1.a,M-1,S1,M1-S1.a
497,S1.b,S1.b,M-1,S1,M1-S1.b
498,S1.c,S1.c,M-1,S1,
499,S1.d,S1.d,M-1,S1,
500,S1.e,S1.e,M-1,S1,
501,S1.f,S1.f,M-1,S1,
502,S1.g,S1.g,M-1,S1,
503,S1.h,S1.h,M-1,S1,
